"State","INDIVIDUAL RECORD","ECONOMIC ISSUES","GOVERNMENT OPERATIONS","VOTING/ELECTIONS","CIVIL RIGHTS MINORITY ISSUES AND CIVIL LIBERTIES","IMMIGRATION AND REFUGEE ISSUES","LGBTQ","RACE","RELIGION","SOCIAL WELFARE","EDUCATION","ABORTION/WOMEN","HEALTH","LAW AND CRIME AND POLICING","GUNS","HISTORY","LEGISLATION","AGRICULTURE","ENERGY AND ENVIRONMENT","COMMUNITY DEVELOPMENT AND HOUSING","TECHNOLOGY SCIENCE SPACE","MEDIA AND COMMUNICATIONS"
"Arizona",44,5,11,31,0,3,1,2,0,2,6,7,6,4,1,0,8,0,3,0,0,1
"California",5,18,2,1,0,0,0,6,0,3,1,2,8,4,1,0,10,0,1,6,0,0
"Colorado",43,13,2,9,0,0,1,0,0,3,0,9,4,3,2,0,19,0,5,0,0,0
"Connecticut",7,6,0,1,0,1,0,0,0,0,0,1,4,2,0,0,1,0,0,0,0,0
"District of Columbia",1,8,3,2,1,0,1,0,0,0,1,1,5,4,0,3,10,1,6,5,0,0
"Florida",25,12,2,0,0,1,2,1,1,1,4,3,9,8,3,1,2,0,3,1,0,1
"Georgia",4,9,2,4,0,0,0,1,0,0,2,2,7,8,4,0,7,0,5,7,1,3
"Illinois",3,2,0,0,0,0,1,0,0,0,1,0,2,2,1,0,0,0,0,0,0,0
"Iowa",110,41,19,9,0,7,3,0,0,0,16,23,20,19,0,1,65,5,10,4,1,1
"Kansas",8,5,3,0,0,0,4,3,0,0,5,5,0,7,0,1,4,0,0,0,0,0
"Maine",21,11,2,1,0,1,0,0,0,3,1,4,3,1,0,0,16,0,5,0,0,0
"Massachusetts",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Michigan",32,17,2,8,0,2,4,2,0,0,3,16,16,4,2,1,1,0,0,1,0,0
"Minnesota",21,6,6,4,0,0,0,0,0,0,2,2,0,9,0,0,5,0,0,1,0,0
"Missouri",5,7,0,0,0,0,0,0,0,0,2,0,4,4,0,0,7,1,0,0,0,1
"Nevada",24,6,3,6,0,3,0,0,0,0,4,4,0,15,1,0,4,0,0,1,0,0
"New Mexico",6,0,1,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0
"New York",5,10,10,3,0,0,0,3,0,0,4,2,13,12,4,4,1,3,3,3,0,0
"North Carolina",42,32,19,13,1,5,2,2,0,6,8,5,35,39,1,4,20,8,8,8,0,0
"Ohio",0,0,0,1,0,0,4,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0
"Oklahoma",19,18,8,2,0,1,0,9,0,0,10,4,7,11,0,2,1,1,5,3,0,0
"Oregon",12,1,0,1,0,2,0,0,0,0,0,3,0,4,1,0,0,0,0,0,0,0
"Pennsylvania",10,3,0,0,0,0,1,0,0,0,0,4,0,4,0,0,1,0,0,0,0,0
"Texas",10,2,6,0,0,7,0,0,0,1,5,1,30,10,5,2,4,0,4,0,0,1
"Virginia",12,7,6,1,0,1,1,2,0,0,7,4,0,4,1,0,2,0,1,0,0,0
"Washington",2,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,1,0,0,0
"West Virginia",1,4,0,0,0,2,0,0,0,0,0,0,1,1,0,1,2,0,2,0,0,0
"Wisconsin",98,23,13,37,0,5,1,2,0,7,12,19,12,33,12,3,6,0,11,2,0,0
